name,lat,lon,type
Kafue River Lodge,-14.29841,26.31206,tourist lodge
Kasonso Busanga,-14.214,25.5632,tourist lodge
Kukuji Camp,-14.32913,26.37795,tourist lodge
Mapunga Bush Camp,-14.7102216,26.1018419,tourist lodge
McBridge’s Camp,-14.7662511,26.156559,tourist lodge
Kafwala Rapids Camp,-14.801646,26.1862564,tourist lodge
Mayukuyuku Bush Camp,-14.9157998,26.0661364,tourist lodge
Chunga Camp,-15.0429899,26.0000896,tourist lodge
Ila Safari Lodge,-14.973849,25.9255886,tourist lodge
Mukambi Safari Lodge,-14.9778704,25.993309,tourist lodge
Pinnon Lodge,-15.0216448,26.0335207,tourist lodge
0,-14.939149,25.886951,road
1,-14.960303,25.992913,road
2,-14.956059,26.0677,road
3,-14.995015,26.213589,road
4,-14.977032,26.352955,road
5,-14.971528,26.451443,road
HQ,-14.929449,25.9255886,HQ
